distance,s,p,rho_closeness,rho_betweenness
10000,175,0.16560596178485262,0.9706825979452418,0.9749673862106798
10000,185,0.18339148208028272,0.9738827352197946,0.9766869725336996
10000,190,0.19258726068244086,0.9735301885569957,0.9774588229178054
10000,195,0.20198346863496178,0.9759345313337434,0.9783008585388228
10000,200,0.2115789574400219,0.9765119508640717,0.9789313686105543
10000,210,0.23136332760617576,0.979570985292764,0.9802067159446284
10000,225,0.26250737516522327,0.9827962287049683,0.9824698126290593
10000,250,0.31826073238519514,0.986944908730837,0.9853191693367895
20000,175,0.04609382742862632,0.9450168399221964,0.9631043619709881
20000,185,0.05109179650286547,0.9502000406454668,0.9628240524698107
20000,190,0.053678027091103774,0.9533440527773993,0.963447677601812
20000,195,0.0563220259752714,0.9561505925921371,0.9638348362731303
20000,200,0.059023506030912457,0.9570472074028785,0.964333089712309
20000,210,0.0645977971562189,0.9606423434777677,0.9647284381279091
20000,225,0.07338356410917247,0.9634514896277336,0.9665843792410018
20000,250,0.08914138101959096,0.9695022192277615,0.9686521423173962
