distance,metric,bound_type,canonical_reach,epsilon,budget_param,eps_observed,eps_predicted,bound_holds,spearman
1000,harmonic,Hoeffding,102.58261726007487,0.05,1.0,0.0,0.19280039815017103,True,0.9999999999999999
1000,betweenness,Hoeffding,102.58261726007487,0.05,1.0,0.0,0.19280039815017103,True,1.0
2000,harmonic,Hoeffding,410.3304690402995,0.05,1.0,0.0,0.10479618168323145,True,0.9999999999999999
2000,betweenness,Hoeffding,410.3304690402995,0.05,1.0,0.0,0.10479618168323145,True,1.0
5000,harmonic,Hoeffding,2564.565431501872,0.05,0.8457788958059517,0.00036398545954956094,0.05,True,0.9987971151932401
5000,betweenness,Hoeffding,2564.565431501872,0.05,0.8457788958059517,18.34808908441206,0.05,False,0.9993687927904729
10000,harmonic,Hoeffding,10258.261726007488,0.05,0.23847258497018772,0.00029972950344936915,0.05,True,0.9957928415735258
10000,betweenness,Hoeffding,10258.261726007488,0.05,0.23847258497018772,80.18512511867253,0.05,False,0.9921108958962538
20000,harmonic,Hoeffding,41033.04690402995,0.05,0.06637511149722188,0.0002855495611569172,0.05000000000000001,True,0.9948786446058054
20000,betweenness,Hoeffding,41033.04690402995,0.05,0.06637511149722188,202.8476222949589,0.05000000000000001,False,0.9812483938015726
