distance,metric,reach,sample_prob,n_eff,eps_observed,eps_predicted,bound_holds
1000,harmonic,77.40776824951172,1.0,77.40776824951172,2.2792253610317614e-08,0.2178127459149916,True
1000,betweenness,77.40776824951172,1.0,77.40776824951172,0.0,0.2178127459149916,True
2000,harmonic,269.4800109863281,1.0,269.4800109863281,1.2209352298744294e-08,0.12626255759263214,True
2000,betweenness,269.4800109863281,1.0,269.4800109863281,0.0,0.12626255759263214,True
5000,harmonic,1451.381591796875,0.2666876489012313,387.0655443748352,0.00278128941956403,0.11521389709824403,True
5000,betweenness,1451.381591796875,0.2666876489012313,387.0655443748352,0.04667091683583337,0.11521389709824403,True
10000,harmonic,5218.89892578125,0.14063851270629088,733.9781828863341,0.0015870413715329513,0.08872437453933987,True
10000,betweenness,5218.89892578125,0.14063851270629088,733.9781828863341,0.023902967254408044,0.08872437453933987,True
20000,harmonic,15300.201171875,0.08213819168420952,1256.7308566624358,0.0008914530232581258,0.07089062546703519,True
20000,betweenness,15300.201171875,0.08213819168420952,1256.7308566624358,0.12363045714961485,0.07089062546703519,False
