network,distance,lcb_coverage,lcb_coverage_min,lcb_coverage_max,ucb_coverage,point_median_rel_err,lcb_violation_ratio
gla,1000,0.929334066439915,0.9216108738459965,0.9371979132035905,0.9512422320538066,0.3293804968572613,1.1562743716762651
gla,2000,0.9157148153830417,0.8952324332617367,0.9286335276669735,0.9230464355119157,0.1602121941010242,1.0856310752117762
gla,5000,0.8955323011621514,0.8479934029686641,0.9362926218085582,0.9075680478668321,0.06284077409969346,1.0330552833087707
gla,10000,0.8873550506923047,0.8228070624033138,0.9515578454811614,0.9017962846951433,0.0314272176774674,1.0137547076145157
gla,20000,0.862793893910531,0.6827288185432834,0.9990858764718668,0.9067856092665277,0.014806439809659445,1.0062119498398066
madrid,1000,0.9275337602133366,0.9118901068233616,0.9393013845175894,0.9500426363199429,0.3056955037001067,1.139086608293644
madrid,2000,0.9191178747252066,0.8942471436975571,0.950939715763074,0.9271495804563893,0.1604481976010007,1.0785804369703107
madrid,5000,0.9091364980111128,0.8505626151155412,0.9618783760776363,0.9004689749106163,0.07155312959924023,1.0389143135202994
madrid,10000,0.9163782696177062,0.7799411855749884,0.9896300882216376,0.8995480575762265,0.03673689447592449,1.0259306526423477
madrid,20000,0.9318387246556261,0.8125986689366971,0.995635350564928,0.888774183562916,0.017613253174373306,1.0152206161384068
cary,1000,0.9389126270811847,0.9121850596729041,0.9553558273169295,0.9969795196699571,0.800749225981676,1.307954271032267
cary,2000,0.9259024605864152,0.8866951524974216,0.9612494474731104,0.9444820981287757,0.31446799394282887,1.134187896144001
cary,5000,0.9362604980109032,0.8623839693531752,0.9886547811993517,0.9050390452335346,0.11638897512389006,1.03600556017297
cary,10000,0.9172241049064388,0.37763371150729336,0.999705318992191,0.8867540886989834,0.0567416254792323,1.0133291340574195
cary,20000,0.9077795786061588,0.3129512302932076,1.0,0.8815087667599822,0.026101776486547858,1.0111445532410177
woodlands,1000,0.9365103598691386,0.902071973827699,0.9517993456924755,0.9951799345692477,0.8390883018278739,1.2815613409070188
woodlands,2000,0.913080444735121,0.8722476564203183,0.9553084804883366,0.938827120122084,0.3237850582623525,1.211909919783824
woodlands,5000,0.8902114671898845,0.736647045999564,0.973621103117506,0.9162415522127751,0.14302680297482256,1.058854895556993
woodlands,10000,0.8297144102899499,0.28515369522563766,1.0,0.9705471986047526,0.07054547935470186,1.0276718896159218
woodlands,20000,0.8442555046871594,0.16524961848702857,1.0,0.9575103553520821,0.031727681124772145,1.0110727932238623
