city,distance,sample_prob,quartile,n_nodes,mean_reachability,effective_n,rho_harmonic,rho_betweenness,morans_i_harmonic,morans_i_betweenness
london,500,0.3,Q1 (low),792,66.71717,20.015152,0.9128427769087681,0.941260164080212,0.5798139,0.3465559
london,500,0.3,Q2,806,107.01613,32.10484,0.8369197011011013,0.9342891972316898,0.5798139,0.3465559
london,500,0.3,Q3,780,129.8782,38.963463,0.7702479913548638,0.9332876159399985,0.5798139,0.3465559
london,500,0.3,Q4 (high),786,168.19466,50.4584,0.8694504005191722,0.957471611842274,0.5798139,0.3465559
london,1000,0.3,Q1 (low),792,231.1452,69.34357,0.9474165877436855,0.9780462801055229,0.61637366,0.25845903
london,1000,0.3,Q2,796,365.1231,109.536934,0.8729480598227994,0.9825236138600223,0.61637366,0.25845903
london,1000,0.3,Q3,791,506.05817,151.81746,0.863584184755911,0.9779174397462382,0.61637366,0.25845903
london,1000,0.3,Q4 (high),785,622.37836,186.71352,0.9358824022631856,0.9883871149662857,0.61637366,0.25845903
london,2000,0.3,Q1 (low),792,878.1035,263.43106,0.9606406939933704,0.9825640738583237,0.5626277,0.19213626
london,2000,0.3,Q2,791,1234.4652,370.33957,0.9196898411696217,0.9910526820495603,0.5626277,0.19213626
london,2000,0.3,Q3,791,1629.9773,488.9932,0.9251673870358759,0.9952021093553863,0.5626277,0.19213626
london,2000,0.3,Q4 (high),790,2083.548,625.06445,0.9606414863503672,0.9974729430332763,0.5626277,0.19213626
madrid,500,0.3,Q1 (low),598,38.18729,11.456187,0.8988120403547458,0.9182237879303685,0.5326797,0.42623308
madrid,500,0.3,Q2,615,79.268295,23.780489,0.8501678815466159,0.9177669384025859,0.5326797,0.42623308
madrid,500,0.3,Q3,590,109.84746,32.95424,0.6556935074139487,0.8958436572037386,0.5326797,0.42623308
madrid,500,0.3,Q4 (high),580,148.86897,44.660694,0.8527309603824978,0.9472223431321473,0.5326797,0.42623308
madrid,1000,0.3,Q1 (low),599,143.31218,42.993656,0.913169175843876,0.9634011932139538,0.59498847,0.37975526
madrid,1000,0.3,Q2,597,304.9598,91.487946,0.8733876109915925,0.9748714304606533,0.59498847,0.37975526
madrid,1000,0.3,Q3,594,434.93604,130.48082,0.7813966610712965,0.9697400694072487,0.59498847,0.37975526
madrid,1000,0.3,Q4 (high),593,553.75885,166.12766,0.9069029362031049,0.9844848996626285,0.59498847,0.37975526
madrid,2000,0.3,Q1 (low),599,670.2053,201.0616,0.966580141931089,0.9747889548113005,0.60476017,0.27251276
madrid,2000,0.3,Q2,593,1071.0455,321.31366,0.9098244534585176,0.9894659301992264,0.60476017,0.27251276
madrid,2000,0.3,Q3,597,1379.3953,413.8186,0.8789758651622683,0.9926723135807651,0.60476017,0.27251276
madrid,2000,0.3,Q4 (high),594,1676.6549,502.9965,0.9414795567161401,0.9959142070843772,0.60476017,0.27251276
phoenix,500,0.3,Q1 (low),660,28.824242,8.647273,0.9150101008912023,0.9235073402573171,0.472145,0.27285466
phoenix,500,0.3,Q2,645,64.72403,19.41721,0.8725345451894769,0.9521762400137924,0.472145,0.27285466
phoenix,500,0.3,Q3,638,91.91536,27.57461,0.7957021123606847,0.9476298710893868,0.472145,0.27285466
phoenix,500,0.3,Q4 (high),645,135.0155,40.504654,0.8736955247215165,0.9528271560973333,0.472145,0.27285466
phoenix,1000,0.3,Q1 (low),649,123.14021,36.942066,0.9483962240103321,0.9701821425390962,0.5538556,0.21625946
phoenix,1000,0.3,Q2,647,241.8748,72.56245,0.9106963826412007,0.9820740858067915,0.5538556,0.21625946
phoenix,1000,0.3,Q3,646,362.27554,108.68267,0.8675899211044334,0.9857450204558235,0.5538556,0.21625946
phoenix,1000,0.3,Q4 (high),646,499.94427,149.98329,0.9328887025781694,0.990259395649285,0.5538556,0.21625946
phoenix,2000,0.3,Q1 (low),647,583.8439,175.15317,0.9754488579238199,0.975455193012397,0.5667208,0.1853658
phoenix,2000,0.3,Q2,650,958.92,287.676,0.9509244391475119,0.9907574685247874,0.5667208,0.1853658
phoenix,2000,0.3,Q3,646,1308.483,392.54492,0.9423110346183692,0.9940863991439622,0.5667208,0.1853658
phoenix,2000,0.3,Q4 (high),645,1635.7705,490.73117,0.9611486188855829,0.9973404945752897,0.5667208,0.1853658
