distance,epsilon,p,rho_closeness,rho_betweenness
10000,0.03,0.6624238471394105,0.99384400478506,0.9925804481945426
10000,0.035,0.4866787448371178,0.9881769120624256,0.9860955308405043
10000,0.04,0.37261341401591835,0.9807557189577519,0.979869033346319
10000,0.045,0.29441059872862685,0.9748743119179362,0.9740838923388889
10000,0.05,0.23847258497018772,0.9685173424629084,0.9697750021199938
10000,0.06,0.16560596178485262,0.9542012550013532,0.9625075371169941
10000,0.08,0.09315335350397959,0.9305621760705933,0.9569179042355188
20000,0.03,0.18437530971450528,0.9739601623430914,0.9641966776726664
20000,0.035,0.13545941121882019,0.9614772893025382,0.9593141924593963
20000,0.04,0.10371111171440921,0.9541984876253147,0.9569593236328492
20000,0.045,0.08194458209533569,0.9477961467889747,0.9572937159627483
20000,0.05,0.06637511149722188,0.9385905071581365,0.9575866157955074
20000,0.06,0.04609382742862632,0.9180548955624946,0.9565883807789398
20000,0.08,0.025927777928602302,0.9013628774692369,0.9629415143934158
