name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,easting,northing,longitude,latitude,runtime
Harlequin,27 Arlington Way,London,Finsbury,Islington,,,E09000019,Clerkenwell,E05000370,531467.0001221001,182944.00012210011,-0.10452278167672048,51.52960001220874,02/20/2022
Peasant,240 St John Street,London,Finsbury,Islington,,,E09000019,Clerkenwell,E05000370,531676.0001221001,182495.00012210011,-0.10167910375485843,51.52551590485401,02/20/2022
Blues Kitchen,134 Curtain Road,London,Shoreditch,Hackney,,,E09000012,Hoxton East & Shoreditch,E05009377,533290.0001221001,182597.00012210011,-0.07838609530625593,51.52605391772326,02/20/2022
Caraway Lounge,290 North Street,Romford,,Havering,,,E09000016,Brooklands,E05000306,550626.0001221001,189606.00012210011,0.17436355740567813,51.5846782215041,02/20/2022
Rye,31 Peckham Rye,Peckham,London,Southwark,,,E09000028,Rye Lane,E05011113,534483.0001221001,175739.00012210011,-0.06381138808364838,51.4641356522452,02/20/2022
Eleven,5 Fernlea Road,Balham,,Wandsworth,,,E09000032,Balham,E05000610,528788.0001221001,173166.00012210011,-0.14669365674920773,51.44233471981021,02/20/2022
Royal,Boston Road,Hanwell,,Ealing,,,E09000009,Northfield,E05000182,516257.0001221001,179033.00012210011,-0.3250015995528789,51.49778281026171,02/20/2022
Bitter End Bar,139 Masons Hill,Bromley,,Bromley,,,E09000006,Bromley Town,E05000109,540989.0001221001,168298.00012210011,0.026833437505355034,51.395680009795896,02/20/2022
Hope,3 Melon Road,Peckham,London,Southwark,,,E09000028,Peckham,E05011110,534065.0001221001,176723.00012210011,-0.06945244459193495,51.47307848719919,02/20/2022
Blues Kitchen,40 Acre Lane,Brixton,,Lambeth,,,E09000022,Ferndale,E05000421,530674.0001221001,175157.00012210011,-0.11883350311400073,51.45979724415786,02/20/2022
Richmal Crompton,23 Westmoreland Place,Bromley,,Bromley,,,E09000006,Bromley Town,E05000109,540356.0001221001,168677.00012210011,0.017889537018804334,51.39924309155157,02/20/2022
Partridge,194 High Street,Bromley,,Bromley,,,E09000006,Bromley Town,E05000109,540199.0001221001,169278.00012210011,0.015871392643457535,51.40468316095841,02/20/2022
Bar Sport,196-198 High Street,Bromley,,Bromley,,,E09000006,Bromley Town,E05000109,540199.0001221001,169278.00012210011,0.015871392643457535,51.40468316095841,02/20/2022
Havet,195-199 High Street,Bromley,,Bromley,,,E09000006,Bromley Town,E05000109,540169.0001221001,169377.00012210011,0.015479446656137432,51.405580298501384,02/20/2022
Greyhound,205 High Street,Bromley,,Bromley,,,E09000006,Bromley Town,E05000109,540116.0001221001,169415.00012210011,0.014732883139538768,51.405934906336284,02/20/2022
Star & Garter,227 High Street,Bromley,,Bromley,,,E09000006,Bromley Town,E05000109,540068.0001221001,169466.00012210011,0.014063290496619321,51.40640510662853,02/20/2022
Swan & Mitre,260-262 High Street,Bromley,,Bromley,,,E09000006,Bromley Town,E05000109,540035.0001221001,169458.00012210011,0.013585933445957332,51.406341360514965,02/20/2022
Metropolis,256A High Street,Bromley,,Bromley,,,E09000006,Bromley Town,E05000109,540035.0001221001,169458.00012210011,0.013585933445957332,51.406341360514965,02/20/2022
