shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
4__R____1__IT_1,40.4178246350574,-3.70957559133661,1000001,0
4__R____1__IT_1,40.4178289192889,-3.70965889246896,1000002,0.007083329033
4__R____1__IT_1,40.4178410879274,-3.7098932285287,1000003,0.034093781797
4__R____1__IT_1,40.4178540101997,-3.71013664987641,1000004,0.081806080665
4__R____1__IT_1,40.4178599957182,-3.710247394125,1000005,0.138937485223
4__R____1__IT_1,40.4178606045176,-3.71026590634875,1000006,0.197640936867
4__R____1__IT_1,40.4178612992407,-3.71028465639811,1000007,0.257937027836
4__R____1__IT_1,40.4178620865783,-3.71030328837167,1000008,0.319816286519
4__R____1__IT_1,40.4178630526338,-3.71032215796822,1000009,0.383300046373
4__R____1__IT_1,40.4178641100569,-3.7103406725544,1000010,0.448358979882
4__R____1__IT_1,40.4178651642124,-3.71035942520716,1000011,0.515013202719
4__R____1__IT_1,40.4178664019608,-3.71037806192005,1000012,0.583254539292
4__R____1__IT_1,40.4178677288899,-3.71039669957163,1000013,0.653083956467
4__R____1__IT_1,40.4178691459006,-3.71041533817147,1000014,0.724502492895
4__R____1__IT_1,40.4178723420455,-3.71045262036139,1000015,0.799103918584
4__R____1__IT_1,40.4178740293008,-3.71047126180644,1000016,0.875297952197
4__R____1__IT_1,40.4178758064756,-3.71048978396942,1000017,0.953075756643
4__R____1__IT_1,40.4178776756957,-3.71050842733061,1000018,1.032448831611
4__R____1__IT_1,40.4178817723033,-3.71054548325983,1000019,1.114998481466
4__R____1__IT_1,40.4178839991501,-3.71056413038668,1000020,1.199149364598
4__R____1__IT_1,40.4178863193289,-3.71058254275367,1000021,1.284883457764
4__R____1__IT_1,40.4178911371516,-3.7106193681799,1000022,1.373787292878
4__R____1__IT_1,40.41789372595,-3.71063790124861,1000023,1.464289533448
4__R____1__IT_1,40.4178992662331,-3.71067473428481,1000024,1.557976660832
4__R____1__IT_1,40.4179021267253,-3.7106930344737,1000025,1.653248527943
4__R____1__IT_1,40.4179050790935,-3.71071133680966,1000026,1.750107387822
4__R____1__IT_1,40.4179082105726,-3.71072951962434,1000027,1.848547571211
4__R____1__IT_1,40.4179114312108,-3.7107477069151,1000028,1.948571652961
4__R____1__IT_1,40.4179147435561,-3.71076577730113,1000029,2.050172315192
4__R____1__IT_1,40.4179182369829,-3.71078384723719,1000030,2.153354329381
4__R____1__IT_1,40.417921820477,-3.71080192048046,1000031,2.258120448371
4__R____1__IT_1,40.4179254929975,-3.71081987325486,1000032,2.364463307051
4__R____1__IT_1,40.4179292573798,-3.71083783053419,1000033,2.472385941039
4__R____1__IT_1,40.4179371452281,-3.71087351195639,1000034,2.583459896023
4__R____1__IT_1,40.4179413598703,-3.7108913525733,1000035,2.696118116149
4__R____1__IT_1,40.4179455752272,-3.71090907650705,1000036,2.810351169603
4__R____1__IT_1,40.4179498833467,-3.71092680495558,1000037,2.926162511411
4__R____1__IT_1,40.4179589451875,-3.71096202373455,1000038,3.045126614239
4__R____1__IT_1,40.4179637008503,-3.71097963785086,1000039,3.165675611392
4__R____1__IT_1,40.4179684599449,-3.71099713295539,1000040,3.287800113555
4__R____1__IT_1,40.4179733965107,-3.711014628752,1000041,3.411506890038
4__R____1__IT_1,40.4179834530332,-3.71104939007639,1000042,3.53836704376
4__R____1__IT_1,40.4179940533183,-3.71108391903527,1000043,3.668384141581
4__R____1__IT_1,40.4179995334465,-3.71110106813146,1000044,3.799978230207
4__R____1__IT_1,40.4180050137481,-3.71111833510396,1000045,3.933158548328
4__R____1__IT_1,40.418010764857,-3.7111353680085,1000046,4.067918680366
4__R____1__IT_1,40.4180165166812,-3.71115228423043,1000047,4.20424960838
4__R____1__IT_1,40.4180347617943,-3.71120339695005,1000048,4.34536660075
4__R____1__IT_1,40.4180409624052,-3.71122043578154,1000049,4.488084674007
4__R____1__IT_1,40.4180474366947,-3.71123735962642,1000050,4.632408391073
4__R____1__IT_1,40.4180538181947,-3.71125428249737,1000051,4.778333094088
4__R____1__IT_1,40.4180604724726,-3.71127109037241,1000052,4.925863739198
4__R____1__IT_1,40.418067033961,-3.71128789727354,1000053,5.074995541401
4__R____1__IT_1,40.4180738691427,-3.71130458683116,1000054,5.22573376511
4__R____1__IT_1,40.4180807050325,-3.71132116088518,1000055,5.378069816721
4__R____1__IT_1,40.4180876300964,-3.71133773706049,1000056,5.53200857854
4__R____1__IT_1,40.418094556784,-3.71135419538442,1000057,5.687541371105
4__R____1__IT_1,40.4181016620412,-3.71137076874959,1000058,5.844686354753
4__R____1__IT_1,40.4181089481613,-3.71138723086626,1000059,6.00344527087
4__R____1__IT_1,40.4181161463702,-3.71140333844474,1000060,6.163787213206
4__R____1__IT_1,40.4181234332326,-3.71141967916819,1000061,6.325734225024
4__R____1__IT_1,40.4181309000643,-3.71143590745515,1000062,6.489288285696
4__R____1__IT_1,40.4181384604207,-3.71145201650148,1000063,6.654446144375
4__R____1__IT_1,40.4181460196839,-3.71146801002539,1000064,6.821199393292
4__R____1__IT_1,40.4181537582275,-3.71148400308407,1000065,6.98955855504
4__R____1__IT_1,40.418161499296,-3.71149987830103,1000066,7.159515341906
4__R____1__IT_1,40.4181693279052,-3.71151587467331,1000067,7.331083647937
4__R____1__IT_1,40.4181773399481,-3.71153163488035,1000068,7.504257822587
4__R____1__IT_1,40.4181852608281,-3.71154727625865,1000069,7.679023869726
4__R____1__IT_1,40.4182015573112,-3.71157844948129,1000070,7.856994141895
4__R____1__IT_1,40.4182098424935,-3.71159374227153,1000071,8.03655475554
4__R____1__IT_1,40.4184531405928,-3.7120688518611,1000072,8.264634882689
4__R____1__IT_1,40.4185003405116,-3.71216132901694,1000073,8.502149358605
4__R____1__IT_1,40.4187033676221,-3.71255912336064,1000074,8.78024570157
4__R____1__IT_1,40.4189559348628,-3.71305013162574,1000075,9.108554706654
4__R____1__IT_1,40.4192051845228,-3.71353780687242,1000076,9.48663626161
4__R____1__IT_1,40.4194556756089,-3.71402821231469,1000077,9.914759389647
4__R____1__IT_1,40.419705808965,-3.71451814375957,1000078,10.392868469039
4__R____1__IT_1,40.4199061899877,-3.71490924550079,1000079,10.910923688577
4__R____1__IT_1,40.4199144725191,-3.71492489504161,1000080,11.430593842804
4__R____1__IT_1,40.4199308562055,-3.71495594939198,1000081,11.953465338007
4__R____1__IT_1,40.419938868499,-3.71497159254705,1000082,12.477934430163
4__R____1__IT_1,40.4199469697801,-3.71498712230912,1000083,13.003998684395
4__R____1__IT_1,40.4199548018931,-3.71500276474275,1000084,13.531649436661
4__R____1__IT_1,40.4199628116495,-3.71501852575721,1000085,14.060905945453
4__R____1__IT_1,40.4199705538529,-3.71503428394262,1000086,14.591751756623
4__R____1__IT_1,40.4199783834214,-3.71505004541418,1000087,15.124192368728
4__R____1__IT_1,40.4199938612832,-3.71508203559205,1000088,15.659845082948
4__R____1__IT_1,40.4200014225798,-3.71509790975163,1000089,16.1970846721
4__R____1__IT_1,40.4200163590207,-3.71512989421819,1000090,16.737504208422
4__R____1__IT_1,40.4200238262445,-3.71514611983919,1000091,17.279530590114
4__R____1__IT_1,40.4200311139971,-3.71516223040301,1000092,17.823145223687
4__R____1__IT_1,40.4200384929336,-3.71517845509617,1000093,18.368361601334
4__R____1__IT_1,40.4200456891462,-3.71519479926935,1000094,18.915178221467
4__R____1__IT_1,40.4200528860857,-3.71521102557842,1000095,19.463586467815
4__R____1__IT_1,40.420059992231,-3.71522736526842,1000096,20.013589658689
4__R____1__IT_1,40.4200670985239,-3.71524382637498,1000097,20.565196762908
4__R____1__IT_1,40.420074024481,-3.71526016652098,1000098,21.118389048505
4__R____1__IT_1,40.4200809506148,-3.71527662336878,1000099,21.673175190438
4__R____1__IT_1,40.4200877824935,-3.71529331615108,1000100,22.22956778562
4__R____1__IT_1,40.4200946192527,-3.71530965654115,1000101,22.787540801638
4__R____1__IT_1,40.4201010942352,-3.715326225317,1000102,23.347092578579
4__R____1__IT_1,40.4201074773145,-3.71534279548007,1000103,23.908218603279
4__R____1__IT_1,40.4201138629152,-3.71535924897635,1000104,24.470910170064
4__R____1__IT_1,40.4201199744493,-3.71537616989541,1000105,25.035189502575
4__R____1__IT_1,40.4201261766232,-3.71539285602689,1000106,25.60104298883
4__R____1__IT_1,40.4201321105146,-3.71540965719483,1000107,26.168466687822
4__R____1__IT_1,40.420138041887,-3.71542657385695,1000108,26.73746938271
4__R____1__IT_1,40.4201437930734,-3.71544349097068,1000109,27.308042873575
4__R____1__IT_1,40.4201493640885,-3.71546040617854,1000110,27.880178990435
4__R____1__IT_1,40.4201549345503,-3.71547755595547,1000111,28.453896004515
4__R____1__IT_1,40.4201603239326,-3.71549470499552,1000112,29.029186104733
4__R____1__IT_1,40.4201657116675,-3.71551197425384,1000113,29.606058659391
4__R____1__IT_1,40.4201709210471,-3.71552923926769,1000114,30.184505957841
4__R____1__IT_1,40.4201760396175,-3.71554662001878,1000115,30.764533484761
4__R____1__IT_1,40.4201809769369,-3.71556388215527,1000116,31.3461246894
4__R____1__IT_1,40.4201906702754,-3.71559887719555,1000117,31.93087377181
4__R____1__IT_1,40.4201952466982,-3.71561637008766,1000118,32.517191453598
4__R____1__IT_1,40.4201997323044,-3.71563397989532,1000119,33.105083905848
4__R____1__IT_1,40.4202041288955,-3.71565170663756,1000120,33.694557465321
4__R____1__IT_1,40.4202084343055,-3.71566931807654,1000121,34.285599717256
4__R____1__IT_1,40.420216590905,-3.71570500293473,1000122,34.879801892293
4__R____1__IT_1,40.4202206246234,-3.71572284253707,1000123,35.475582387969
4__R____1__IT_1,40.420224389709,-3.71574056259765,1000124,36.07292323169
4__R____1__IT_1,40.4202281525881,-3.71575863862108,1000125,36.671853475304
4__R____1__IT_1,40.420231824308,-3.71577659580474,1000126,37.272360747776
4__R____1__IT_1,40.4202388077584,-3.71581273975592,1000127,37.876030867067
4__R____1__IT_1,40.4202421211268,-3.71583080748626,1000128,38.48127732391
4__R____1__IT_1,40.4202453409537,-3.71584899563872,1000129,39.088107679115
4__R____1__IT_1,40.4202483815316,-3.71586717835657,1000130,39.696517111278
4__R____1__IT_1,40.4202513320003,-3.71588536365711,1000131,40.30650372701
4__R____1__IT_1,40.4202541916519,-3.71590366587214,1000132,40.918075180277
4__R____1__IT_1,40.420256961238,-3.71592196359763,1000133,41.531229125262
4__R____1__IT_1,40.4202595522613,-3.71594014509227,1000134,42.145952136218
4__R____1__IT_1,40.4202620508438,-3.7159585601808,1000135,42.762261873363
4__R____1__IT_1,40.4202644609625,-3.71597685763591,1000136,43.380146813993
4__R____1__IT_1,40.4202666883997,-3.7159952674949,1000137,43.999613059164
4__R____1__IT_1,40.4202688275293,-3.71601367995509,1000138,44.620659323962
4__R____1__IT_1,40.4202708782097,-3.71603197242422,1000139,45.243274089968
4__R____1__IT_1,40.4202727445485,-3.71605049986997,1000140,45.867474280213
4__R____1__IT_1,40.4202746101835,-3.71606914046992,1000141,46.493269402464
4__R____1__IT_1,40.4202762997801,-3.71608754816795,1000142,47.120637417606
4__R____1__IT_1,40.4202778066805,-3.71610607062654,1000143,47.749585717533
4__R____1__IT_1,40.4202792242162,-3.7161244754414,1000144,48.380103352354
4__R____1__IT_1,40.4202805502117,-3.7161431138589,1000145,49.012209067777
4__R____1__IT_1,40.4202817877653,-3.71616163110605,1000146,49.64589174295
4__R____1__IT_1,40.4202828416999,-3.7161802666398,1000147,50.281159740816
4__R____1__IT_1,40.420283899787,-3.71619866764555,1000148,50.917993253938
4__R____1__IT_1,40.4202852803464,-3.71623758126184,1000149,51.558131672505
4__R____1__IT_1,40.4202858814376,-3.71625703712463,1000150,52.199922034174
4__R____1__IT_1,40.4202863005624,-3.71627648987901,1000151,52.843363382826
4__R____1__IT_1,40.4202867216415,-3.71629606288755,1000152,53.488465922632
4__R____1__IT_1,40.4202870515761,-3.71631551469636,1000153,54.135219119886
4__R____1__IT_1,40.4202872897918,-3.71633508340817,1000154,54.783632696621
4__R____1__IT_1,40.4202874395291,-3.71635453684215,1000155,55.433696746028
4__R____1__IT_1,40.4202874705862,-3.7163934337904,1000156,56.087060733627
4__R____1__IT_1,40.4202873502309,-3.71641300223499,1000157,56.74208492123
4__R____1__IT_1,40.4202869265125,-3.71645201223418,1000158,57.400418970474
4__R____1__IT_1,40.4202865357309,-3.71647145875501,1000159,58.060403392405
4__R____1__IT_1,40.4202860550467,-3.71649101983997,1000160,58.722048193817
4__R____1__IT_1,40.4202855750897,-3.71651046305667,1000161,59.385343377615
