route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
4__1___,4_I12,4_I12-001_2023I12_1_1_4__1___,VALDECARROS,PINAR DE CHAMARTIN-VALDECARROS,0,,4__1____1__IT_1,1
4__1___,4_I12,4_I12-001_2023I12_2_1_4__1___,PINAR DE CHAMARTIN,VALDECARROS-PINAR DE CHAMARTIN,1,,4__1____2__IT_1,1
4__1___,4_I13,4_I13-001_2023I13_1_1_4__1___,VALDECARROS,PINAR DE CHAMARTIN-VALDECARROS,0,,4__1____1__IT_1,1
4__1___,4_I13,4_I13-001_2023I13_2_1_4__1___,PINAR DE CHAMARTIN,VALDECARROS-PINAR DE CHAMARTIN,1,,4__1____2__IT_1,1
4__1___,4_I14,4_I14-001_2023I14_1_1_4__1___,VALDECARROS,PINAR DE CHAMARTIN-VALDECARROS,0,,4__1____1__IT_1,1
4__1___,4_I14,4_I14-001_2023I14_2_1_4__1___,PINAR DE CHAMARTIN,VALDECARROS-PINAR DE CHAMARTIN,1,,4__1____2__IT_1,1
4__1___,4_I15,4_I15-001_2023I15_1_1_4__1___,VALDECARROS,PINAR DE CHAMARTIN-VALDECARROS,0,,4__1____1__IT_1,1
4__1___,4_I15,4_I15-001_2023I15_2_1_4__1___,PINAR DE CHAMARTIN,VALDECARROS-PINAR DE CHAMARTIN,1,,4__1____2__IT_1,1
4__2___,4_I12,4_I12-002_2023I12_1_1_4__2___,CUATRO CAMINOS,LA ELIPA-CUATRO CAMINOS,0,,4__2____1__IT_1,1
4__2___,4_I12,4_I12-002_2023I12_2_1_4__2___,LAS ROSAS,CUATRO CAMINOS-LA ELIPA,1,,4__2____2__IT_1,1
4__2___,4_I13,4_I13-002_2023I13_1_1_4__2___,CUATRO CAMINOS,LA ELIPA-CUATRO CAMINOS,0,,4__2____1__IT_1,1
4__2___,4_I13,4_I13-002_2023I13_2_1_4__2___,LAS ROSAS,CUATRO CAMINOS-LA ELIPA,1,,4__2____2__IT_1,1
4__2___,4_I14,4_I14-002_2023I14_1_1_4__2___,CUATRO CAMINOS,LA ELIPA-CUATRO CAMINOS,0,,4__2____1__IT_1,1
4__2___,4_I14,4_I14-002_2023I14_2_1_4__2___,LAS ROSAS,CUATRO CAMINOS-LA ELIPA,1,,4__2____2__IT_1,1
4__2___,4_I15,4_I15-002_2023I15_1_1_4__2___,CUATRO CAMINOS,LA ELIPA-CUATRO CAMINOS,0,,4__2____1__IT_1,1
4__2___,4_I15,4_I15-002_2023I15_2_1_4__2___,LAS ROSAS,CUATRO CAMINOS-LA ELIPA,1,,4__2____2__IT_1,1
4__3___,4_I12,4_I12-003_2023I12_1_1_4__3___,MONCLOA,VILLAVERDE ALTO-MONCLOA,0,,4__3____1__IT_1,1
4__3___,4_I12,4_I12-003_2023I12_2_1_4__3___,VILLAVERDE ALTO,MONCLOA-VILLAVERDE ALTO,1,,4__3____2__IT_1,1
4__3___,4_I13,4_I13-003_2023I13_1_1_4__3___,MONCLOA,VILLAVERDE ALTO-MONCLOA,0,,4__3____1__IT_1,1
4__3___,4_I13,4_I13-003_2023I13_2_1_4__3___,VILLAVERDE ALTO,MONCLOA-VILLAVERDE ALTO,1,,4__3____2__IT_1,1
4__3___,4_I14,4_I14-003_2023I14_1_1_4__3___,MONCLOA,VILLAVERDE ALTO-MONCLOA,0,,4__3____1__IT_1,1
4__3___,4_I14,4_I14-003_2023I14_2_1_4__3___,VILLAVERDE ALTO,MONCLOA-VILLAVERDE ALTO,1,,4__3____2__IT_1,1
4__3___,4_I15,4_I15-003_2023I15_1_1_4__3___,MONCLOA,VILLAVERDE ALTO-MONCLOA,0,,4__3____1__IT_1,1
4__3___,4_I15,4_I15-003_2023I15_2_1_4__3___,VILLAVERDE ALTO,MONCLOA-VILLAVERDE ALTO,1,,4__3____2__IT_1,1
4__4___,4_I12,4_I12-004_2023I12_1_1_4__4___,PINAR DE CHAMARTIN,ARGÜELLES-PINAR DE CHAMARTIN,0,,4__4____1__IT_1,1
4__4___,4_I12,4_I12-004_2023I12_2_1_4__4___,ARGÜELLES,PINAR DE CHAMARTIN-ARGÜELLES,1,,4__4____2__IT_1,1
